Disease,Category,Symptoms,Vaccine_Available,Vaccine_Name,Reason
Bronchitis,Disease,fatigue; malaise; fever; weight loss; chills; night sweats,No,,Vaccine development not prioritized
Swine Flu,Disease,runny nose; shortness of breath; fatigue,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Haemophilus influenzae,Bacteria,joint pain; weakness; malaise; swelling; night sweats; fever,Yes,Hib Vaccine,
Tuberculosis,Disease,fatigue; chills; weight loss; fever,Yes,BCG Vaccine,
Swine Flu,Disease,sore throat; chest pain; cough; fatigue,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Arthritis,Disorder,back pain; stiffness; weakness; joint pain; swelling; muscle pain,No,,Autoimmune and degenerative joint condition
Bacillus anthracis,Bacteria,weakness; stiffness; muscle pain,Yes,Anthrax Vaccine,
West Nile Virus,Disease,fever; weight loss; malaise; chills,No,,Limited human cases and complex transmission cycle
Avian Flu,Disease,shortness of breath; cough; runny nose; fatigue; fever,No,,Rapid mutation and limited human transmission
Neisseria gonorrhoeae,Bacteria,fatigue; fever; weight loss; back pain,No,,Rapid antibiotic resistance and immune evasion
Depression,Disorder,fatigue; fever; chills,No,,Mental health condition with multiple causes
Marburg,Disease,night sweats; malaise; chills,No,,Vaccine development not prioritized
Mumps,Disease,chills; weight loss; malaise; fatigue,Yes,MMR Vaccine,
Coronary Artery Disease,Disorder,malaise; weight loss; chills; night sweats,No,,Cardiovascular disease from multiple risk factors
Zika Virus,Disease,night sweats; weight loss; fever; chills,No,,Ongoing research with no approved vaccine yet due to multiple strains
Chronic Obstructive Pulmonary Disease,Disorder,night sweats; fever; malaise; weight loss; fatigue,No,,Vaccine development not prioritized
Mumps,Disease,night sweats; fever; malaise; fatigue; weight loss,Yes,MMR Vaccine,
Adenovirus,Virus,tingling; seizures; headache; malaise; memory loss,Limited,Military Adenovirus Vaccine,Limited to specific strains and populations
Cytomegalovirus,Virus,fatigue; headache; tingling,No,,Common virus with complex immune interactions
Pertussis,Disease,weight loss; night sweats; chills; malaise,Yes,Tdap Vaccine,
Autism Spectrum Disorder,Disorder,night sweats; fatigue; fever; weight loss; malaise,No,,Vaccine development not prioritized
Bronchitis,Disease,night sweats; fatigue; chills; weight loss,No,,Vaccine development not prioritized
Rabies,Disease,weight loss; fever; malaise,Yes,Rabies Vaccine,
Neisseria meningitidis,Bacteria,fever; swelling; weight loss,Yes,Meningococcal Vaccine,
Adenovirus,Virus,night sweats; tingling; seizures; fatigue; dizziness,Limited,Military Adenovirus Vaccine,Limited to specific strains and populations
Alzheimer's Disease,Disorder,fatigue; night sweats; malaise; fever; chills,No,,Neurodegenerative disease with complex causes
Osteoporosis,Disorder,fever; night sweats; weight loss; malaise; chills,No,,Bone density disorder from aging and lifestyle
Salmonella,Bacteria,stiffness; weakness; weight loss,Limited,Typhoid Vaccine,Limited to specific serotypes
Osteoporosis,Disorder,night sweats; weight loss; chills; fatigue,No,,Bone density disorder from aging and lifestyle
Alzheimer's Disease,Disorder,malaise; weight loss; night sweats; chills; fever,No,,Neurodegenerative disease with complex causes
Hypertension,Disorder,fatigue; chills; night sweats,No,,"Lifestyle and genetic factors, not infectious"
Campylobacter,Bacteria,fatigue; joint pain; fever; muscle pain; night sweats; weight loss,No,,Complex bacterial structure
Yersinia pestis,Bacteria,fatigue; stiffness; fever; malaise,No,,Rare disease with limited research
Haemophilus influenzae,Bacteria,malaise; stiffness; swelling,Yes,Hib Vaccine,
Escherichia coli,Bacteria,swelling; stiffness; back pain; fever; night sweats,Limited,Travelers' Diarrhea Vaccine,Limited to specific strains
Schizophrenia,Disorder,malaise; weight loss; night sweats; chills,No,,Severe mental health disorder
Depression,Disorder,fatigue; malaise; fever,No,,Mental health condition with multiple causes
Chickenpox,Disease,fever; weight loss; fatigue; malaise; night sweats; chills,Yes,Varicella Vaccine,
Epstein-Barr Virus,Virus,memory loss; dizziness; fever; malaise,No,,"Causes lifelong infection, vaccine development challenging"
Salmonella,Bacteria,weight loss; back pain; muscle pain; fever; joint pain; swelling,Limited,Typhoid Vaccine,Limited to specific serotypes
West Nile Virus,Virus,fatigue; fever; numbness,No,,Limited human cases and complex transmission cycle
Autism Spectrum Disorder,Disorder,night sweats; weight loss; chills,No,,Vaccine development not prioritized
Hepatitis C,Disease,chills; weight loss; fever; night sweats; fatigue; malaise,No,,Complex disease mechanism and multiple virus strains hinder vaccine development
Malaria,Disease,chills; malaise; fatigue; weight loss; night sweats; fever,No,,Complex parasite lifecycle and multiple strains
Escherichia coli,Bacteria,swelling; chills; back pain; joint pain,Limited,Travelers' Diarrhea Vaccine,Limited to specific strains
Neisseria meningitidis,Bacteria,swelling; fatigue; night sweats; stiffness; fever; weight loss,Yes,Meningococcal Vaccine,
Ebola,Disease,chills; night sweats; malaise; fever; weight loss; fatigue,No,,Rare outbreaks and safety concerns limit widespread vaccine availability
Legionella pneumophila,Bacteria,muscle pain; stiffness; weakness; swelling; fever; night sweats,No,,Environmental bacterium with limited human cases
Staphylococcus aureus,Bacteria,malaise; muscle pain; back pain; fever; weakness,No,,Bacteria has multiple strains and toxin variants
Staphylococcus aureus,Bacteria,back pain; fever; stiffness; malaise,No,,Bacteria has multiple strains and toxin variants
Pituitary Disorders,Disorder,fatigue; malaise; chills; weight loss; night sweats,No,,Endocrine disorders
Borrelia burgdorferi,Bacteria,joint pain; fatigue; stiffness; chills; fever; muscle pain,No,,Previous vaccine withdrawn due to concerns
Depression,Disorder,malaise; chills; fever; night sweats; fatigue; weight loss,No,,Mental health condition with multiple causes
Attention Deficit Hyperactivity Disorder,Disorder,fatigue; chills; malaise; fever,No,,Vaccine development not prioritized
Coronary Artery Disease,Disorder,chills; malaise; fatigue; night sweats,No,,Cardiovascular disease from multiple risk factors
Chronic Obstructive Pulmonary Disease,Disorder,weight loss; malaise; chills; night sweats; fatigue,No,,Vaccine development not prioritized
Bronchitis,Disease,weight loss; chills; malaise,No,,Vaccine development not prioritized
Clostridium botulinum,Bacteria,back pain; stiffness; joint pain; chills,No,,"Toxin-mediated disease, limited cases"
Alzheimer's Disease,Disorder,night sweats; fatigue; chills; fever,No,,Neurodegenerative disease with complex causes
Chickenpox,Disease,malaise; chills; night sweats,Yes,Varicella Vaccine,
Asthma,Disorder,fever; fatigue; night sweats; chills; weight loss,No,,"Allergic inflammatory condition, not infectious"
Staphylococcus aureus,Bacteria,muscle pain; joint pain; weight loss; stiffness,No,,Bacteria has multiple strains and toxin variants
Hepatitis C,Disease,malaise; chills; fatigue; fever,No,,Complex disease mechanism and multiple virus strains hinder vaccine development
Yersinia pestis,Bacteria,joint pain; weakness; night sweats; chills; malaise,No,,Rare disease with limited research
Hepatitis A,Disease,chills; fatigue; night sweats,Yes,Hepatitis A Vaccine,
SARS,Disease,night sweats; weight loss; fever,No,,"Disease eradicated in humans, no ongoing need for vaccine"
Chronic Obstructive Pulmonary Disease,Disorder,chills; fever; night sweats; fatigue; malaise; weight loss,No,,Vaccine development not prioritized
Ebola,Disease,malaise; night sweats; weight loss; chills; fatigue,No,,Rare outbreaks and safety concerns limit widespread vaccine availability
Influenza Viruses,Virus,seizures; night sweats; numbness; fatigue; malaise; dizziness,No,,Vaccine development not prioritized
Lyme Disease,Disease,weight loss; night sweats; malaise; fatigue,No,,Previous vaccine withdrawn due to safety concerns and low demand
Zika Virus,Disease,malaise; weight loss; fever; night sweats; fatigue,No,,Ongoing research with no approved vaccine yet due to multiple strains
Tuberculosis,Disease,fever; weight loss; malaise; fatigue; night sweats; chills,Yes,BCG Vaccine,
Staphylococcus aureus,Bacteria,weakness; swelling; night sweats; chills; fatigue,No,,Bacteria has multiple strains and toxin variants
Adenovirus,Virus,seizures; malaise; numbness; headache; fever,Limited,Military Adenovirus Vaccine,Limited to specific strains and populations
Shigella,Bacteria,chills; stiffness; malaise; muscle pain,No,,Multiple serotypes and limited research
Arthritis,Disorder,joint pain; muscle pain; swelling; stiffness; weakness; back pain,No,,Autoimmune and degenerative joint condition
Obsessive Compulsive Disorder,Disorder,night sweats; malaise; weight loss; fatigue; chills,No,,Vaccine development not prioritized
COVID-19,Disease,fever; malaise; night sweats; fatigue; chills,Yes,COVID-19 Vaccine,
Chronic Obstructive Pulmonary Disease,Disorder,malaise; night sweats; fatigue; weight loss,No,,Vaccine development not prioritized
Rhinovirus,Virus,fatigue; night sweats; seizures; numbness,No,,Over 100 serotypes make vaccine impractical
Neisseria gonorrhoeae,Bacteria,swelling; joint pain; malaise,No,,Rapid antibiotic resistance and immune evasion
Clostridium difficile,Bacteria,joint pain; weight loss; swelling,No,,Bacterial toxin-mediated disease
Rotavirus,Virus,memory loss; confusion; dizziness; night sweats,Yes,Rotavirus Vaccine,
Shigella,Bacteria,malaise; muscle pain; night sweats,No,,Multiple serotypes and limited research
Haemophilus influenzae,Bacteria,malaise; fatigue; joint pain; weakness,Yes,Hib Vaccine,
Adenovirus,Virus,fatigue; night sweats; numbness; memory loss,Limited,Military Adenovirus Vaccine,Limited to specific strains and populations
Shingles,Disease,weight loss; night sweats; chills,No,,Vaccine development not prioritized
Monkeypox,Disease,malaise; night sweats; weight loss; fatigue,No,,Vaccine development not prioritized
Klebsiella pneumoniae,Bacteria,cough; wheezing; fever; shortness of breath,No,,Antibiotic-resistant hospital pathogen
Stroke,Disorder,fever; night sweats; malaise; fatigue; chills; weight loss,No,,"Caused by various risk factors, not a single pathogen"
Schizophrenia,Disorder,weight loss; malaise; fatigue,No,,Severe mental health disorder
Rabies,Disease,fever; weight loss; night sweats; malaise; fatigue; chills,Yes,Rabies Vaccine,
Diabetes Mellitus,Disorder,weight loss; malaise; fatigue; fever; night sweats; chills,No,,Vaccine development not prioritized
Neisseria meningitidis,Bacteria,muscle pain; swelling; malaise,Yes,Meningococcal Vaccine,
Hepatitis B,Disease,chills; malaise; fever; fatigue; weight loss; night sweats,Yes,Hepatitis B Vaccine,
Stroke,Disorder,chills; fatigue; fever; weight loss; malaise; night sweats,No,,"Caused by various risk factors, not a single pathogen"
Diabetes Mellitus,Disorder,malaise; night sweats; chills,No,,Vaccine development not prioritized
Anxiety,Disorder,fatigue; night sweats; weight loss; malaise,No,,Mental health disorder
Sleep Disorders,Disorder,fatigue; fever; malaise; weight loss; night sweats; chills,No,,Various causes including lifestyle and medical conditions
Treponema pallidum,Bacteria,swelling; back pain; fever,No,,Complex immune evasion mechanisms
Rotavirus,Virus,fatigue; weight loss; dizziness; memory loss,Yes,Rotavirus Vaccine,
Legionella pneumophila,Bacteria,night sweats; chills; malaise; weakness; muscle pain; stiffness,No,,Environmental bacterium with limited human cases
Human Papillomavirus,Virus,redness; hair loss; itching; blisters; rash; dry skin,Yes,HPV Vaccine,
Varicella-Zoster Virus,Virus,tingling; weight loss; malaise; confusion; fatigue; numbness,No,,Vaccine development not prioritized
Pituitary Disorders,Disorder,malaise; fever; chills; night sweats,No,,Endocrine disorders
Parkinson's Disease,Disorder,weight loss; fatigue; malaise; night sweats; chills; fever,No,,Progressive neurological disorder
Chickenpox,Disease,fatigue; malaise; night sweats; chills; fever; weight loss,Yes,Varicella Vaccine,
West Nile Virus,Virus,headache; tingling; seizures,No,,Limited human cases and complex transmission cycle
Botulism,Disease,fatigue; chills; fever; malaise,No,,Vaccine development not prioritized
Clostridium botulinum,Bacteria,back pain; stiffness; night sweats; joint pain,No,,"Toxin-mediated disease, limited cases"
Obsessive Compulsive Disorder,Disorder,fatigue; weight loss; malaise; night sweats; fever,No,,Vaccine development not prioritized
Bacillus anthracis,Bacteria,joint pain; swelling; night sweats; malaise; fever,Yes,Anthrax Vaccine,
Pseudomonas aeruginosa,Bacteria,night sweats; fever; stiffness; weight loss; chills,No,,Opportunistic pathogen in immunocompromised patients
Hepatitis B,Disease,malaise; weight loss; chills; fatigue,Yes,Hepatitis B Vaccine,
West Nile Virus,Virus,dizziness; weight loss; confusion; fatigue; chills,No,,Limited human cases and complex transmission cycle
Tularemia,Disease,fever; weight loss; chills,No,,Vaccine development not prioritized
Eating Disorders,Disorder,night sweats; weight loss; fatigue,No,,Mental health and behavioral disorders
Osteoporosis,Disorder,fever; chills; night sweats; malaise,No,,Bone density disorder from aging and lifestyle
Zika Virus,Disease,fever; weight loss; malaise,No,,Ongoing research with no approved vaccine yet due to multiple strains
Monkeypox,Disease,weight loss; fatigue; chills; malaise; fever; night sweats,No,,Vaccine development not prioritized
Attention Deficit Hyperactivity Disorder,Disorder,fever; night sweats; weight loss; malaise,No,,Vaccine development not prioritized
Monkeypox,Disease,night sweats; fever; weight loss,No,,Vaccine development not prioritized
Osteoporosis,Disorder,fatigue; night sweats; fever; malaise; chills,No,,Bone density disorder from aging and lifestyle
Borrelia burgdorferi,Bacteria,malaise; fever; joint pain; back pain; swelling; weight loss,No,,Previous vaccine withdrawn due to concerns
Diphtheria,Disease,chills; fatigue; fever; weight loss; malaise,Yes,Tdap Vaccine,
Yersinia pestis,Bacteria,stiffness; back pain; malaise; chills; swelling; weight loss,No,,Rare disease with limited research
Chikungunya Virus,Virus,confusion; fatigue; headache,No,,Vaccine development not prioritized
Shingles,Disease,chills; night sweats; fever; weight loss; malaise; fatigue,No,,Vaccine development not prioritized
Sleep Disorders,Disorder,night sweats; fever; malaise; fatigue,No,,Various causes including lifestyle and medical conditions
Plague,Disease,night sweats; malaise; weight loss; fatigue,No,,Vaccine development not prioritized
Lyme Disease,Disease,weight loss; fatigue; malaise,No,,Previous vaccine withdrawn due to safety concerns and low demand
Monkeypox,Disease,chills; night sweats; fatigue; weight loss; malaise,No,,Vaccine development not prioritized
Zika Virus,Disease,night sweats; malaise; fatigue; weight loss; chills,No,,Ongoing research with no approved vaccine yet due to multiple strains
Pneumonia,Disease,fever; cough; wheezing; fatigue; shortness of breath,Yes,Pneumococcal Vaccine,
Tetanus,Disease,fatigue; night sweats; weight loss; fever; malaise; chills,Yes,Tdap Vaccine,
Typhoid,Disease,abdominal pain; bloating; loss of appetite; nausea,Yes,Typhoid Vaccine,
Rhinovirus,Virus,headache; tingling; fever; fatigue,No,,Over 100 serotypes make vaccine impractical
Pertussis,Disease,malaise; chills; weight loss,Yes,Tdap Vaccine,
Parkinson's Disease,Disorder,fatigue; malaise; night sweats; fever,No,,Progressive neurological disorder
Cytomegalovirus,Virus,fever; seizures; dizziness; night sweats; confusion; tingling,No,,Common virus with complex immune interactions
Multiple Sclerosis,Disorder,chills; fever; weight loss; fatigue; malaise,No,,Autoimmune neurological disease
Neisseria meningitidis,Bacteria,muscle pain; weight loss; stiffness,Yes,Meningococcal Vaccine,
Asthma,Disorder,fatigue; malaise; chills; fever,No,,"Allergic inflammatory condition, not infectious"
Schizophrenia,Disorder,chills; night sweats; weight loss,No,,Severe mental health disorder
Anthrax,Disease,malaise; weight loss; fatigue,No,,Vaccine development not prioritized
Hepatitis A,Disease,fever; fatigue; chills,Yes,Hepatitis A Vaccine,
Polio,Disease,fever; fatigue; malaise; weight loss; night sweats,Yes,Polio Vaccine,
Klebsiella pneumoniae,Bacteria,sore throat; fever; fatigue; chest pain; cough; runny nose,No,,Antibiotic-resistant hospital pathogen
Schizophrenia,Disorder,weight loss; night sweats; fever,No,,Severe mental health disorder
Neisseria meningitidis,Bacteria,night sweats; back pain; fatigue,Yes,Meningococcal Vaccine,
Influenza,Disease,chest pain; shortness of breath; runny nose; fever; fatigue; sore throat,Yes,Influenza Vaccine,
Yersinia pestis,Bacteria,back pain; night sweats; malaise; swelling; chills; fatigue,No,,Rare disease with limited research
West Nile Virus,Virus,fatigue; chills; confusion; numbness,No,,Limited human cases and complex transmission cycle
Francisella tularensis,Bacteria,malaise; muscle pain; fatigue; fever; chills; swelling,No,,Rare bacterial infection
Avian Flu,Disease,wheezing; cough; chest pain; shortness of breath,No,,Rapid mutation and limited human transmission
Migraine,Disorder,night sweats; fever; fatigue; malaise,No,,Neurological headache disorder
Tick-Borne Encephalitis Virus,Virus,memory loss; malaise; fatigue; weight loss; tingling,No,,Vaccine development not prioritized
Autism Spectrum Disorder,Disorder,fever; weight loss; night sweats; malaise,No,,Vaccine development not prioritized
Tick-Borne Encephalitis Virus,Virus,fatigue; dizziness; headache; confusion,No,,Vaccine development not prioritized
Shigella,Bacteria,muscle pain; chills; weight loss; back pain,No,,Multiple serotypes and limited research
Diphtheria,Disease,chills; fever; night sweats,Yes,Tdap Vaccine,
Hepatitis C,Disease,night sweats; chills; fever,No,,Complex disease mechanism and multiple virus strains hinder vaccine development
Norovirus,Virus,tingling; numbness; headache; fatigue; fatigue,No,,Rapidly evolving virus with many strains
Hepatitis B,Disease,chills; fever; fatigue,Yes,Hepatitis B Vaccine,
Borrelia burgdorferi,Bacteria,fever; malaise; stiffness; muscle pain; fatigue,No,,Previous vaccine withdrawn due to concerns
Hypertension,Disorder,fever; night sweats; fatigue; weight loss; chills,No,,"Lifestyle and genetic factors, not infectious"
Parainfluenza Virus,Virus,memory loss; chills; malaise; fatigue; tingling,No,,Vaccine development not prioritized
Clostridium botulinum,Bacteria,weakness; swelling; night sweats,No,,"Toxin-mediated disease, limited cases"
Measles,Disease,night sweats; fatigue; fever,Yes,MMR Vaccine,
Bipolar Disorder,Disorder,malaise; night sweats; fatigue,No,,Mental health condition
Respiratory Syncytial Virus,Virus,wheezing; fever; fatigue; runny nose,No,,Previous vaccine trials showed safety concerns
Multiple Sclerosis,Disorder,weight loss; night sweats; chills,No,,Autoimmune neurological disease
Thyroid Disorders,Disorder,malaise; weight loss; fatigue,No,,Endocrine disorders from various causes
Varicella-Zoster Virus,Virus,night sweats; memory loss; seizures; fatigue; numbness; fever,No,,Vaccine development not prioritized
Mycobacterium tuberculosis,Bacteria,fatigue; runny nose; wheezing; fever,Yes,BCG Vaccine,
Herpes Simplex Virus,Virus,rash; dry skin; hair loss; itching; blisters,No,,Vaccine development not prioritized
Typhoid,Disease,vomiting; loss of appetite; constipation; diarrhea,Yes,Typhoid Vaccine,
Legionella pneumophila,Bacteria,back pain; weakness; swelling; weight loss,No,,Environmental bacterium with limited human cases
Stroke,Disorder,night sweats; fatigue; fever; malaise; chills; weight loss,No,,"Caused by various risk factors, not a single pathogen"
Adenovirus,Virus,numbness; night sweats; seizures,Limited,Military Adenovirus Vaccine,Limited to specific strains and populations
Cholera,Disease,diarrhea; bloating; vomiting,Yes,Cholera Vaccine,
Attention Deficit Hyperactivity Disorder,Disorder,malaise; fatigue; night sweats; weight loss; fever; chills,No,,Vaccine development not prioritized
Hepatitis A,Disease,chills; weight loss; fatigue; malaise; night sweats; fever,Yes,Hepatitis A Vaccine,
Coronavirus,Virus,weight loss; fever; fatigue; malaise,No,,Vaccine development not prioritized
Diabetes Mellitus,Disorder,weight loss; night sweats; fatigue; malaise; fever,No,,Vaccine development not prioritized
Coronary Artery Disease,Disorder,malaise; fatigue; fever; night sweats,No,,Cardiovascular disease from multiple risk factors
Neisseria gonorrhoeae,Bacteria,joint pain; night sweats; swelling; muscle pain; weakness,No,,Rapid antibiotic resistance and immune evasion
Diphtheria,Disease,weight loss; malaise; fatigue,Yes,Tdap Vaccine,
Clostridium botulinum,Bacteria,fever; back pain; weakness,No,,"Toxin-mediated disease, limited cases"
Chickenpox,Disease,chills; fever; malaise; night sweats; weight loss,Yes,Varicella Vaccine,
Arthritis,Disorder,back pain; swelling; stiffness; joint pain; weakness,No,,Autoimmune and degenerative joint condition
Legionella pneumophila,Bacteria,fatigue; fever; back pain; muscle pain; chills; joint pain,No,,Environmental bacterium with limited human cases
SARS,Disease,weight loss; fever; chills; night sweats,No,,"Disease eradicated in humans, no ongoing need for vaccine"
Depression,Disorder,chills; night sweats; weight loss; fever,No,,Mental health condition with multiple causes
Autism Spectrum Disorder,Disorder,night sweats; fatigue; fever; malaise; weight loss; chills,No,,Vaccine development not prioritized
Haemophilus influenzae,Bacteria,back pain; swelling; fatigue; stiffness,Yes,Hib Vaccine,
Legionella pneumophila,Bacteria,fatigue; malaise; night sweats; swelling,No,,Environmental bacterium with limited human cases
Ebola,Disease,chills; fatigue; night sweats; malaise; weight loss; fever,No,,Rare outbreaks and safety concerns limit widespread vaccine availability
Swine Flu,Disease,sore throat; runny nose; shortness of breath; chest pain; fatigue,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Coronavirus,Virus,numbness; fever; fatigue; weight loss; night sweats; tingling,No,,Vaccine development not prioritized
Vibrio cholerae,Bacteria,weakness; night sweats; swelling; malaise; muscle pain,Yes,Cholera Vaccine,
Salmonella,Bacteria,fatigue; muscle pain; fever; joint pain; swelling; back pain,Limited,Typhoid Vaccine,Limited to specific serotypes
Varicella-Zoster Virus,Virus,weight loss; fatigue; fatigue; malaise,No,,Vaccine development not prioritized
Avian Flu,Disease,fatigue; runny nose; wheezing,No,,Rapid mutation and limited human transmission
Shigella,Bacteria,swelling; fever; weakness,No,,Multiple serotypes and limited research
Measles,Disease,fatigue; fever; chills,Yes,MMR Vaccine,
Bipolar Disorder,Disorder,chills; fatigue; weight loss,No,,Mental health condition
Dengue,Disease,fever; weight loss; malaise; fatigue; night sweats,Limited,Dengvaxia,Vaccine available but restricted to specific populations due to safety concerns
Diabetes Mellitus,Disorder,malaise; chills; night sweats; weight loss; fatigue; fever,No,,Vaccine development not prioritized
Tuberculosis,Disease,fatigue; fever; malaise; night sweats; weight loss; chills,Yes,BCG Vaccine,
Migraine,Disorder,fatigue; chills; night sweats; fever; malaise,No,,Neurological headache disorder
Measles,Disease,chills; weight loss; fatigue; fever; night sweats; malaise,Yes,MMR Vaccine,
Cytomegalovirus,Virus,confusion; dizziness; fatigue; headache,No,,Common virus with complex immune interactions
Diabetes Mellitus,Disorder,fever; fatigue; night sweats,No,,Vaccine development not prioritized
Campylobacter,Bacteria,fatigue; chills; stiffness,No,,Complex bacterial structure
Monkeypox,Disease,chills; fatigue; fever; weight loss; malaise; night sweats,No,,Vaccine development not prioritized
Parainfluenza Virus,Virus,malaise; dizziness; night sweats; fatigue,No,,Vaccine development not prioritized
Tick-Borne Encephalitis Virus,Virus,weight loss; headache; malaise,No,,Vaccine development not prioritized
Schizophrenia,Disorder,chills; malaise; weight loss; fever,No,,Severe mental health disorder
Pneumonia,Disease,chest pain; cough; fever; wheezing; runny nose,Yes,Pneumococcal Vaccine,
Mycobacterium tuberculosis,Bacteria,sore throat; fever; cough; fatigue; chest pain; shortness of breath,Yes,BCG Vaccine,
Coronavirus,Virus,fever; dizziness; headache; tingling; night sweats,No,,Vaccine development not prioritized
Haemophilus influenzae,Bacteria,malaise; weakness; joint pain; swelling,Yes,Hib Vaccine,
Polio,Disease,fever; malaise; weight loss; fatigue; night sweats; chills,Yes,Polio Vaccine,
Tuberculosis,Disease,malaise; night sweats; weight loss; fever; chills,Yes,BCG Vaccine,
Salmonella,Bacteria,fever; malaise; swelling; stiffness,Limited,Typhoid Vaccine,Limited to specific serotypes
Tularemia,Disease,weight loss; night sweats; malaise; chills; fatigue,No,,Vaccine development not prioritized
Diphtheria,Disease,night sweats; weight loss; malaise; fever; chills,Yes,Tdap Vaccine,
Malaria,Disease,night sweats; weight loss; malaise; fatigue,No,,Complex parasite lifecycle and multiple strains
Autism Spectrum Disorder,Disorder,malaise; chills; night sweats; fatigue,No,,Vaccine development not prioritized
Mumps,Disease,fever; malaise; fatigue; night sweats,Yes,MMR Vaccine,
Obsessive Compulsive Disorder,Disorder,malaise; weight loss; chills,No,,Vaccine development not prioritized
Bacillus anthracis,Bacteria,swelling; night sweats; weight loss; muscle pain,Yes,Anthrax Vaccine,
Rhinovirus,Virus,fever; numbness; confusion,No,,Over 100 serotypes make vaccine impractical
Tetanus,Disease,fever; chills; night sweats; fatigue,Yes,Tdap Vaccine,
Schizophrenia,Disorder,night sweats; fever; fatigue; weight loss; chills,No,,Severe mental health disorder
Coronary Artery Disease,Disorder,night sweats; fatigue; weight loss,No,,Cardiovascular disease from multiple risk factors
Epstein-Barr Virus,Virus,seizures; chills; memory loss; headache; fatigue,No,,"Causes lifelong infection, vaccine development challenging"
Anthrax,Disease,fever; fatigue; night sweats; chills; weight loss; malaise,No,,Vaccine development not prioritized
Sleep Disorders,Disorder,fatigue; weight loss; night sweats; chills,No,,Various causes including lifestyle and medical conditions
Klebsiella pneumoniae,Bacteria,shortness of breath; sore throat; cough; wheezing,No,,Antibiotic-resistant hospital pathogen
Rabies,Disease,chills; malaise; fever; weight loss; night sweats,Yes,Rabies Vaccine,
Ebola,Disease,fatigue; weight loss; night sweats; chills,No,,Rare outbreaks and safety concerns limit widespread vaccine availability
Polio,Disease,night sweats; fatigue; weight loss; malaise,Yes,Polio Vaccine,
Parkinson's Disease,Disorder,malaise; fever; weight loss; chills; fatigue; night sweats,No,,Progressive neurological disorder
Campylobacter,Bacteria,chills; stiffness; fever; back pain; malaise; joint pain,No,,Complex bacterial structure
Ebola,Disease,fatigue; night sweats; weight loss; malaise; chills,No,,Rare outbreaks and safety concerns limit widespread vaccine availability
Campylobacter,Bacteria,swelling; back pain; weakness; stiffness,No,,Complex bacterial structure
Diphtheria,Disease,chills; weight loss; malaise; night sweats,Yes,Tdap Vaccine,
Norovirus,Virus,fever; dizziness; seizures,No,,Rapidly evolving virus with many strains
Mycobacterium tuberculosis,Bacteria,fatigue; chest pain; wheezing; fever; sore throat,Yes,BCG Vaccine,
Pseudomonas aeruginosa,Bacteria,fatigue; fever; swelling; back pain; weakness; chills,No,,Opportunistic pathogen in immunocompromised patients
Pneumonia,Disease,runny nose; cough; sore throat; fatigue,Yes,Pneumococcal Vaccine,
Herpes Simplex Virus,Virus,redness; dry skin; hair loss,No,,Vaccine development not prioritized
Tetanus,Disease,weight loss; night sweats; fatigue; fever; chills; malaise,Yes,Tdap Vaccine,
Hypertension,Disorder,malaise; fever; fatigue,No,,"Lifestyle and genetic factors, not infectious"
Pseudomonas aeruginosa,Bacteria,weakness; night sweats; joint pain; muscle pain,No,,Opportunistic pathogen in immunocompromised patients
Migraine,Disorder,fever; chills; malaise; fatigue; night sweats,No,,Neurological headache disorder
Borrelia burgdorferi,Bacteria,muscle pain; night sweats; back pain; weight loss,No,,Previous vaccine withdrawn due to concerns
Dengue,Disease,weight loss; fatigue; night sweats; malaise; fever,Limited,Dengvaxia,Vaccine available but restricted to specific populations due to safety concerns
Diphtheria,Disease,chills; fever; fatigue,Yes,Tdap Vaccine,
Osteoporosis,Disorder,night sweats; weight loss; fever,No,,Bone density disorder from aging and lifestyle
Epilepsy,Disorder,fatigue; weight loss; chills; night sweats; malaise,No,,Neurological disorder from various causes
Obsessive Compulsive Disorder,Disorder,weight loss; night sweats; fever; chills; fatigue; malaise,No,,Vaccine development not prioritized
Shingles,Disease,malaise; fatigue; night sweats; fever; weight loss,No,,Vaccine development not prioritized
Staphylococcus aureus,Bacteria,back pain; stiffness; muscle pain; fatigue,No,,Bacteria has multiple strains and toxin variants
Salmonella,Bacteria,fatigue; fever; chills; swelling; weakness; malaise,Limited,Typhoid Vaccine,Limited to specific serotypes
Tick-Borne Encephalitis Virus,Virus,fever; chills; tingling; night sweats; numbness; memory loss,No,,Vaccine development not prioritized
Eating Disorders,Disorder,fatigue; night sweats; chills; malaise; weight loss; fever,No,,Mental health and behavioral disorders
Autism Spectrum Disorder,Disorder,weight loss; malaise; fever,No,,Vaccine development not prioritized
Zika Virus,Disease,malaise; fever; night sweats; chills,No,,Ongoing research with no approved vaccine yet due to multiple strains
Anxiety,Disorder,fever; night sweats; fatigue; chills,No,,Mental health disorder
Mycobacterium tuberculosis,Bacteria,chest pain; fatigue; fever; sore throat; runny nose; shortness of breath,Yes,BCG Vaccine,
Eating Disorders,Disorder,fever; fatigue; malaise; weight loss; night sweats,No,,Mental health and behavioral disorders
Multiple Sclerosis,Disorder,malaise; night sweats; chills; weight loss; fatigue; fever,No,,Autoimmune neurological disease
